"","ID","Choice_situation","alt1_x1","alt1_x2","alt1_x3","alt1_x4","alt2_x1","alt2_x2","alt2_x3","alt2_x4","alt3_sq","Block","group","V_1","V_2","V_3","e_1","e_2","e_3","U_1","U_2","U_3","CHOICE"
"16",2,8,0,1,0,140,75,0,1,90,1,2,1,-0.72,-3.46,-1,-0.322841299656763,-0.497555333076475,-1.07122031004777,-1.04284129965676,-3.95755533307648,-2.07122031004777,1
"17",2,11,0,0,1,120,0,1,1,80,1,2,1,-0.61,-0.43,-1,-0.672825588964587,-0.616502932584659,1.54144109149166,-1.28282558896459,-1.04650293258466,0.541441091491657,3
"18",2,14,0,1,0,90,0,0,1,130,1,2,1,-0.47,-0.66,-1,3.0241856578981,-0.717960894418716,1.97994204605596,2.5541856578981,-1.37796089441872,0.979942046055959,1
"19",2,19,50,0,0,100,0,1,0,80,1,2,1,-2.5,-0.42,-1,1.27621865820006,1.71609388965866,0.350437422697002,-1.22378134179994,1.29609388965866,-0.649562577302998,2
"20",2,20,0,0,0,110,0,1,1,140,1,2,1,-0.55,-0.73,-1,1.59743424812025,-1.20846409229233,2.87651036773905,1.04743424812025,-1.93846409229233,1.87651036773905,3
"21",3,2,0,0,0,100,0,1,1,120,1,1,1,-0.5,-0.63,-1,-0.0443095843321134,-1.16423662505513,0.573984227515868,-0.544309584332113,-1.79423662505513,-0.426015772484132,3
"22",3,5,50,1,0,120,50,0,1,80,1,1,1,-2.62,-2.41,-1,2.23676979845802,1.69346169209309,0.485821048999965,-0.383230201541976,-0.71653830790691,-0.514178951000035,1
"23",3,9,0,0,1,90,0,1,0,130,1,1,1,-0.46,-0.67,-1,-0.344806431066301,1.31285777909598,0.543587392519755,-0.804806431066301,0.642857779095976,-0.456412607480245,2
"24",3,10,25,0,0,110,25,1,0,80,1,1,1,-1.55,-1.42,-1,1.52542342182686,-0.344021401998235,1.2097474306914,-0.0245765781731417,-1.76402140199823,0.2097474306914,3
"25",3,12,25,0,1,120,25,0,0,150,1,1,1,-1.61,-1.75,-1,0.610812279016969,2.97847712747747,3.07097783047869,-0.999187720983031,1.22847712747747,2.07097783047869,3
"26",3,13,0,1,0,80,25,1,1,130,1,1,1,-0.42,-1.68,-1,1.11153562592888,0.404292277544806,2.04298435422141,0.691535625928884,-1.27570772245519,1.04298435422141,3
"27",3,15,25,0,1,120,25,1,0,80,1,1,1,-1.61,-1.42,-1,0.906062173105713,0.930608304553793,-0.536321921046366,-0.703937826894287,-0.489391695446207,-1.53632192104637,2
"28",3,16,0,0,0,140,0,1,1,100,1,1,1,-0.7,-0.53,-1,-0.237245395877103,0.5189222791829,-1.1204553469577,-0.937245395877103,-0.0110777208170996,-2.1204553469577,2
"29",3,17,25,1,1,140,0,0,1,100,1,1,1,-1.73,-0.51,-1,0.860803147587063,1.86576819755232,2.09968897733443,-0.869196852412937,1.35576819755232,1.09968897733443,2
"30",3,18,0,0,0,110,0,1,1,140,1,1,1,-0.55,-0.73,-1,1.26641720609357,4.95020380262633,0.842056570879321,0.716417206093565,4.22020380262633,-0.157943429120679,2
"31",4,1,0,0,1,120,0,1,1,80,1,2,1,-0.61,-0.43,-1,-0.985919671721301,0.339643659667336,-0.393714324131739,-1.5959196717213,-0.0903563403326639,-1.39371432413174,2
"32",4,3,0,0,1,90,0,0,0,120,1,2,1,-0.46,-0.6,-1,-0.123836492311555,0.0643315893071245,-0.383998817223178,-0.583836492311555,-0.535668410692876,-1.38399881722318,2
"33",4,4,50,0,1,110,25,1,0,140,1,2,1,-2.56,-1.72,-1,-0.856094669758544,0.0644042886719846,3.04054211027529,-3.41609466975854,-1.65559571132802,2.04054211027529,3
"34",4,6,25,0,0,90,25,1,1,130,1,2,1,-1.45,-1.68,-1,1.37953931367171,1.51726441282854,-1.40201522965092,-0.0704606863282924,-0.162735587171462,-2.40201522965092,1
"35",4,7,0,0,1,150,25,1,0,130,1,2,1,-0.76,-1.67,-1,2.35335262633901,-0.112605518787322,0.490863576930597,1.59335262633901,-1.78260551878732,-0.509136423069403,1
"36",4,8,0,1,0,140,75,0,1,90,1,2,1,-0.72,-3.46,-1,1.48625325049324,-0.319149931705401,-0.540333437803941,0.766253250493235,-3.7791499317054,-1.54033343780394,1
"37",4,11,0,0,1,120,0,1,1,80,1,2,1,-0.61,-0.43,-1,0.454853631844057,0.119638991483728,0.191143426852513,-0.155146368155943,-0.310361008516272,-0.808856573147487,1
"38",4,14,0,1,0,90,0,0,1,130,1,2,1,-0.47,-0.66,-1,-0.00164136922275133,2.54940639885579,-0.353607062816285,-0.471641369222751,1.88940639885579,-1.35360706281628,2
"39",4,19,50,0,0,100,0,1,0,80,1,2,1,-2.5,-0.42,-1,2.35154219120054,-0.294975110627366,-0.0751037762895264,-0.14845780879946,-0.714975110627366,-1.07510377628953,1
"40",4,20,0,0,0,110,0,1,1,140,1,2,1,-0.55,-0.73,-1,1.46422378425655,-0.399191497395422,0.840090316364144,0.914223784256549,-1.12919149739542,-0.159909683635856,1
"41",5,2,0,0,0,100,0,1,1,120,1,1,1,-0.5,-0.63,-1,1.25834206455392,1.35283007138483,1.87240532935974,0.758342064553918,0.72283007138483,0.872405329359736,3
"42",5,5,50,1,0,120,50,0,1,80,1,1,1,-2.62,-2.41,-1,0.902153718573273,0.932236395422689,-0.231327838856747,-1.71784628142673,-1.47776360457731,-1.23132783885675,3
"43",5,9,0,0,1,90,0,1,0,130,1,1,1,-0.46,-0.67,-1,1.8002363547026,0.202939356926664,2.17170963582763,1.3402363547026,-0.467060643073336,1.17170963582763,1
"44",5,10,25,0,0,110,25,1,0,80,1,1,1,-1.55,-1.42,-1,1.2624877520799,-0.518680580085561,0.380959812115749,-0.287512247920101,-1.93868058008556,-0.619040187884251,1
"45",5,12,25,0,1,120,25,0,0,150,1,1,1,-1.61,-1.75,-1,0.540324964986551,-0.169431219889474,1.85102927782438,-1.06967503501345,-1.91943121988947,0.851029277824383,3
"46",5,13,0,1,0,80,25,1,1,130,1,1,1,-0.42,-1.68,-1,0.164978431487936,4.03300510501338,-0.823933416512466,-0.255021568512064,2.35300510501338,-1.82393341651247,2
"47",5,15,25,0,1,120,25,1,0,80,1,1,1,-1.61,-1.42,-1,-1.04833008523171,0.808297531679061,0.679556327732119,-2.65833008523171,-0.611702468320939,-0.320443672267881,3
"48",5,16,0,0,0,140,0,1,1,100,1,1,1,-0.7,-0.53,-1,1.59253079870522,0.0907392922116178,0.93271993887336,0.892530798705224,-0.439260707788382,-0.0672800611266403,1
"49",5,17,25,1,1,140,0,0,1,100,1,1,1,-1.73,-0.51,-1,1.4292594623743,2.14043129183295,1.39565472154306,-0.300740537625698,1.63043129183295,0.395654721543058,2
"50",5,18,0,0,0,110,0,1,1,140,1,1,1,-0.55,-0.73,-1,1.72379673269767,0.447738400374833,2.68095327320154,1.17379673269767,-0.282261599625167,1.68095327320154,3
"51",6,1,0,0,1,120,0,1,1,80,1,2,1,-0.61,-0.43,-1,-1.36649562357102,-0.180284303481058,-1.06400304830206,-1.97649562357102,-0.610284303481058,-2.06400304830206,2
"52",6,3,0,0,1,90,0,0,0,120,1,2,1,-0.46,-0.6,-1,-0.907985130932982,0.187498676141713,1.41425668955836,-1.36798513093298,-0.412501323858287,0.414256689558355,3
"53",6,4,50,0,1,110,25,1,0,140,1,2,1,-2.56,-1.72,-1,0.962346117074667,-0.691738356684179,0.67723107964674,-1.59765388292533,-2.41173835668418,-0.32276892035326,3
"54",6,6,25,0,0,90,25,1,1,130,1,2,1,-1.45,-1.68,-1,0.497368837600128,1.61018879022289,0.592038472215,-0.952631162399872,-0.0698112097771129,-0.407961527785,2
"55",6,7,0,0,1,150,25,1,0,130,1,2,1,-0.76,-1.67,-1,-0.3653127247987,2.73615620397664,-0.274782319141917,-1.1253127247987,1.06615620397664,-1.27478231914192,2
"56",6,8,0,1,0,140,75,0,1,90,1,2,1,-0.72,-3.46,-1,-0.504331998982859,-0.203685804348512,-0.343299152996119,-1.22433199898286,-3.66368580434851,-1.34329915299612,1
"57",6,11,0,0,1,120,0,1,1,80,1,2,1,-0.61,-0.43,-1,0.219378942715935,-0.252107809715604,1.01339586148907,-0.390621057284065,-0.682107809715604,0.0133958614890699,3
"58",6,14,0,1,0,90,0,0,1,130,1,2,1,-0.47,-0.66,-1,-1.24543880441114,2.9384664493287,0.713222537533999,-1.71543880441114,2.2784664493287,-0.286777462466001,2
"59",6,19,50,0,0,100,0,1,0,80,1,2,1,-2.5,-0.42,-1,0.392915282623686,2.74750691113175,1.07464403364434,-2.10708471737631,2.32750691113175,0.0746440336443372,2
"60",6,20,0,0,0,110,0,1,1,140,1,2,1,-0.55,-0.73,-1,0.382715797874984,-0.678693729223503,-0.470218786729074,-0.167284202125016,-1.4086937292235,-1.47021878672907,1
"61",7,2,0,0,0,100,0,1,1,120,1,1,1,-0.5,-0.63,-1,1.32683030135169,1.34781819774322,0.756268967590702,0.826830301351689,0.717818197743218,-0.243731032409298,1
"62",7,5,50,1,0,120,50,0,1,80,1,1,1,-2.62,-2.41,-1,0.304321904177779,1.65916156379903,3.4260189688599,-2.31567809582222,-0.750838436200965,2.4260189688599,3
"63",7,9,0,0,1,90,0,1,0,130,1,1,1,-0.46,-0.67,-1,1.97406980029523,-0.850569901413573,0.183739897316342,1.51406980029523,-1.52056990141357,-0.816260102683658,1
"64",7,10,25,0,0,110,25,1,0,80,1,1,1,-1.55,-1.42,-1,1.85531939153369,-1.8167134488623,1.35275575787891,0.305319391533685,-3.2367134488623,0.352755757878907,3
"65",7,12,25,0,1,120,25,0,0,150,1,1,1,-1.61,-1.75,-1,1.32551874934779,0.716204818037815,1.03878637203578,-0.284481250652214,-1.03379518196218,0.0387863720357779,3
"66",7,13,0,1,0,80,25,1,1,130,1,1,1,-0.42,-1.68,-1,-0.78906330184092,1.16193465820994,1.09014719998066,-1.20906330184092,-0.518065341790056,0.0901471999806638,3
"67",7,15,25,0,1,120,25,1,0,80,1,1,1,-1.61,-1.42,-1,-1.16971284958028,0.406429820682503,-0.187647216418835,-2.77971284958028,-1.0135701793175,-1.18764721641883,2
"68",7,16,0,0,0,140,0,1,1,100,1,1,1,-0.7,-0.53,-1,0.215417166595968,0.753299315597712,0.750233307973514,-0.484582833404032,0.223299315597712,-0.249766692026486,2
"69",7,17,25,1,1,140,0,0,1,100,1,1,1,-1.73,-0.51,-1,0.378315819873591,-1.46234038967226,0.159463584181824,-1.35168418012641,-1.97234038967226,-0.840536415818177,3
"70",7,18,0,0,0,110,0,1,1,140,1,1,1,-0.55,-0.73,-1,-0.927892912262406,2.70936371317919,1.17379026964333,-1.47789291226241,1.97936371317919,0.173790269643334,2
"71",8,1,0,0,1,120,0,1,1,80,1,2,1,-0.61,-0.43,-1,0.964380144396863,-0.286826802716453,-0.604459113604851,0.354380144396863,-0.716826802716453,-1.60445911360485,1
"72",8,3,0,0,1,90,0,0,0,120,1,2,1,-0.46,-0.6,-1,1.32037680885554,0.139259619332332,1.19454991070119,0.860376808855539,-0.460740380667668,0.194549910701188,1
"73",8,4,50,0,1,110,25,1,0,140,1,2,1,-2.56,-1.72,-1,-0.379117900255375,0.840991597463473,0.797410137606288,-2.93911790025537,-0.879008402536527,-0.202589862393712,3
"74",8,6,25,0,0,90,25,1,1,130,1,2,1,-1.45,-1.68,-1,-0.622788755617295,2.29606180178758,0.769726513879229,-2.07278875561729,0.616061801787576,-0.230273486120771,2
"75",8,7,0,0,1,150,25,1,0,130,1,2,1,-0.76,-1.67,-1,1.51724610809687,0.0786647451445619,-0.0570128342777819,0.757246108096875,-1.59133525485544,-1.05701283427778,1
"76",8,8,0,1,0,140,75,0,1,90,1,2,1,-0.72,-3.46,-1,-0.0791490792789888,0.480024963344605,-0.571162106729523,-0.799149079278989,-2.97997503665539,-1.57116210672952,1
"77",8,11,0,0,1,120,0,1,1,80,1,2,1,-0.61,-0.43,-1,1.39390509809612,0.258569414965993,-0.690733740400062,0.783905098096117,-0.171430585034007,-1.69073374040006,1
"78",8,14,0,1,0,90,0,0,1,130,1,2,1,-0.47,-0.66,-1,-0.378318195970507,-1.00247812320958,0.536113597300534,-0.848318195970507,-1.66247812320958,-0.463886402699466,3
"79",8,19,50,0,0,100,0,1,0,80,1,2,1,-2.5,-0.42,-1,-0.35504754439283,-0.38388561078405,0.207089600203286,-2.85504754439283,-0.80388561078405,-0.792910399796714,3
"80",8,20,0,0,0,110,0,1,1,140,1,2,1,-0.55,-0.73,-1,1.27189564970487,-0.691764321853951,-0.280502522379468,0.721895649704867,-1.42176432185395,-1.28050252237947,1
"81",9,2,0,0,0,100,0,1,1,120,1,1,1,-0.5,-0.63,-1,1.6408551683118,0.415901806273989,-1.63114104613996,1.1408551683118,-0.214098193726011,-2.63114104613996,1
"82",9,5,50,1,0,120,50,0,1,80,1,1,1,-2.62,-2.41,-1,4.92817591939902,1.05238647860658,0.398391252312675,2.30817591939902,-1.35761352139342,-0.601608747687325,1
"83",9,9,0,0,1,90,0,1,0,130,1,1,1,-0.46,-0.67,-1,0.884787474648594,1.38057029809927,1.51791330269158,0.424787474648594,0.710570298099272,0.517913302691578,2
"84",9,10,25,0,0,110,25,1,0,80,1,1,1,-1.55,-1.42,-1,0.731380027577803,0.368874415121933,-0.747869593191455,-0.818619972422197,-1.05112558487807,-1.74786959319146,1
"85",9,12,25,0,1,120,25,0,0,150,1,1,1,-1.61,-1.75,-1,0.143383871182681,0.321868455995805,0.122836601260976,-1.46661612881732,-1.4281315440042,-0.877163398739024,3
"86",9,13,0,1,0,80,25,1,1,130,1,1,1,-0.42,-1.68,-1,-0.749980663594028,2.34744985541639,0.17113077784547,-1.16998066359403,0.66744985541639,-0.82886922215453,2
"87",9,15,25,0,1,120,25,1,0,80,1,1,1,-1.61,-1.42,-1,-1.04326673267567,-0.793549727246494,0.204626074570282,-2.65326673267567,-2.21354972724649,-0.795373925429718,3
"88",9,16,0,0,0,140,0,1,1,100,1,1,1,-0.7,-0.53,-1,1.42596761718533,3.5193104640462,-0.420943458239863,0.725967617185333,2.9893104640462,-1.42094345823986,2
"89",9,17,25,1,1,140,0,0,1,100,1,1,1,-1.73,-0.51,-1,0.346173146384279,1.6939130045678,1.72905507876825,-1.38382685361572,1.1839130045678,0.729055078768253,2
"90",9,18,0,0,0,110,0,1,1,140,1,1,1,-0.55,-0.73,-1,0.0794630845118644,-0.334452288177343,-0.957408114566974,-0.470536915488136,-1.06445228817734,-1.95740811456697,1
"91",10,1,0,0,1,120,0,1,1,80,1,2,1,-0.61,-0.43,-1,0.501240065729545,0.89926567371746,-1.27873864636826,-0.108759934270455,0.46926567371746,-2.27873864636826,2
"92",10,3,0,0,1,90,0,0,0,120,1,2,1,-0.46,-0.6,-1,0.225540239024548,0.489856925394601,-0.0744458943796851,-0.234459760975452,-0.110143074605399,-1.07444589437969,2
"93",10,4,50,0,1,110,25,1,0,140,1,2,1,-2.56,-1.72,-1,-1.13350370803839,0.962050762784007,-0.538329057079835,-3.69350370803839,-0.757949237215993,-1.53832905707984,2
"94",10,6,25,0,0,90,25,1,1,130,1,2,1,-1.45,-1.68,-1,0.714610814717415,1.49427490816395,2.20138422524608,-0.735389185282585,-0.185725091836047,1.20138422524608,3
"95",10,7,0,0,1,150,25,1,0,130,1,2,1,-0.76,-1.67,-1,0.519060850727834,3.6176327579556,1.67395820465063,-0.240939149272166,1.9476327579556,0.673958204650626,2
"96",10,8,0,1,0,140,75,0,1,90,1,2,1,-0.72,-3.46,-1,0.134331599783899,2.19765658684969,3.25365079316283,-0.585668400216101,-1.26234341315031,2.25365079316283,3
"97",10,11,0,0,1,120,0,1,1,80,1,2,1,-0.61,-0.43,-1,0.237392330125499,0.0916520811288056,-0.0895194469921884,-0.372607669874501,-0.338347918871194,-1.08951944699219,2
"98",10,14,0,1,0,90,0,0,1,130,1,2,1,-0.47,-0.66,-1,1.31709863661146,-0.279293824580761,0.777500210594567,0.847098636611462,-0.939293824580761,-0.222499789405433,1
"99",10,19,50,0,0,100,0,1,0,80,1,2,1,-2.5,-0.42,-1,-0.404923856876509,-0.169015602786932,-0.0506963448194509,-2.90492385687651,-0.589015602786932,-1.05069634481945,2
"100",10,20,0,0,0,110,0,1,1,140,1,2,1,-0.55,-0.73,-1,1.21822088537481,1.19110203254912,1.85264149231067,0.668220885374814,0.46110203254912,0.852641492310673,3
"101",11,2,0,0,0,100,0,1,1,120,1,1,1,-0.5,-0.63,-1,1.20086708359181,4.17656207029741,0.96772764558415,0.700867083591814,3.54656207029741,-0.0322723544158501,2
"102",11,5,50,1,0,120,50,0,1,80,1,1,1,-2.62,-2.41,-1,-0.78909544099285,-1.11200852252378,-0.462793291728072,-3.40909544099285,-3.52200852252378,-1.46279329172807,3
"103",11,9,0,0,1,90,0,1,0,130,1,1,1,-0.46,-0.67,-1,-1.54373275273896,1.0277472436014,-0.110694774728217,-2.00373275273896,0.357747243601399,-1.11069477472822,2
"104",11,10,25,0,0,110,25,1,0,80,1,1,1,-1.55,-1.42,-1,1.22077220399689,0.52667674457943,1.34065526975417,-0.329227796003111,-0.89332325542057,0.340655269754172,3
"105",11,12,25,0,1,120,25,0,0,150,1,1,1,-1.61,-1.75,-1,1.94570038878396,-0.313772810730139,0.427145271677496,0.33570038878396,-2.06377281073014,-0.572854728322504,1
"106",11,13,0,1,0,80,25,1,1,130,1,1,1,-0.42,-1.68,-1,-1.13723129033472,1.71776705195497,-0.731376571110101,-1.55723129033472,0.0377670519549711,-1.7313765711101,2
"107",11,15,25,0,1,120,25,1,0,80,1,1,1,-1.61,-1.42,-1,1.05453766922817,1.27647622520722,1.6952014732195,-0.555462330771828,-0.143523774792782,0.695201473219499,3
"108",11,16,0,0,0,140,0,1,1,100,1,1,1,-0.7,-0.53,-1,-0.303900304652926,1.70938423240841,-0.00664002847044537,-1.00390030465293,1.17938423240841,-1.00664002847045,2
"109",11,17,25,1,1,140,0,0,1,100,1,1,1,-1.73,-0.51,-1,1.13791309415075,3.10957570292082,-0.889305407963021,-0.592086905849247,2.59957570292082,-1.88930540796302,2
"110",11,18,0,0,0,110,0,1,1,140,1,1,1,-0.55,-0.73,-1,0.351216499363832,3.48615237152286,-0.770456109337018,-0.198783500636168,2.75615237152286,-1.77045610933702,2
"111",12,1,0,0,1,120,0,1,1,80,1,2,1,-0.61,-0.43,-1,0.134547329326396,0.856544271876506,-0.268626086542609,-0.475452670673604,0.426544271876506,-1.26862608654261,2
"112",12,3,0,0,1,90,0,0,0,120,1,2,1,-0.46,-0.6,-1,0.158089550349381,0.279288455652046,0.645539843064802,-0.301910449650619,-0.320711544347954,-0.354460156935198,1
"113",12,4,50,0,1,110,25,1,0,140,1,2,1,-2.56,-1.72,-1,0.726730753029407,1.58705984798184,2.13614088207329,-1.83326924697059,-0.13294015201816,1.13614088207329,3
"114",12,6,25,0,0,90,25,1,1,130,1,2,1,-1.45,-1.68,-1,2.70115624259628,0.412440493572098,0.0373299765108766,1.25115624259628,-1.2675595064279,-0.962670023489123,1
"115",12,7,0,0,1,150,25,1,0,130,1,2,1,-0.76,-1.67,-1,-0.696058851656987,1.26007525887153,0.404427169197086,-1.45605885165699,-0.409924741128469,-0.595572830802914,2
"116",12,8,0,1,0,140,75,0,1,90,1,2,1,-0.72,-3.46,-1,0.560310851257503,1.13791003127448,0.173442493244309,-0.159689148742497,-2.32208996872552,-0.826557506755691,1
"117",12,11,0,0,1,120,0,1,1,80,1,2,1,-0.61,-0.43,-1,-0.0538137897470792,-0.628167816491798,-1.31696732886225,-0.663813789747079,-1.0581678164918,-2.31696732886225,1
"118",12,14,0,1,0,90,0,0,1,130,1,2,1,-0.47,-0.66,-1,-0.224385015647685,-0.235039639914427,-0.890500088395525,-0.694385015647685,-0.895039639914427,-1.89050008839552,1
"119",12,19,50,0,0,100,0,1,0,80,1,2,1,-2.5,-0.42,-1,0.129211223764448,1.83211150849249,-1.24842705050804,-2.37078877623555,1.41211150849249,-2.24842705050804,2
"120",12,20,0,0,0,110,0,1,1,140,1,2,1,-0.55,-0.73,-1,-1.24153341804271,1.38584439818972,1.19612373827028,-1.79153341804271,0.655844398189725,0.196123738270277,2
"121",13,2,0,0,0,100,0,1,1,120,1,1,1,-0.5,-0.63,-1,1.5394960071584,-0.374575333145037,-0.279476143357025,1.0394960071584,-1.00457533314504,-1.27947614335703,1
"122",13,5,50,1,0,120,50,0,1,80,1,1,1,-2.62,-2.41,-1,-0.993786757161461,2.1265869956501,0.888146486275871,-3.61378675716146,-0.283413004349898,-0.111853513724129,3
"123",13,9,0,0,1,90,0,1,0,130,1,1,1,-0.46,-0.67,-1,0.352145746419972,-0.784736874120757,-0.0946572319438496,-0.107854253580028,-1.45473687412076,-1.09465723194385,1
"124",13,10,25,0,0,110,25,1,0,80,1,1,1,-1.55,-1.42,-1,-0.662247739546653,-0.508101264858415,2.0831413621635,-2.21224773954665,-1.92810126485842,1.0831413621635,3
"125",13,12,25,0,1,120,25,0,0,150,1,1,1,-1.61,-1.75,-1,-1.02026155028579,-0.766123076066288,0.219743478234786,-2.63026155028579,-2.51612307606629,-0.780256521765214,3
"126",13,13,0,1,0,80,25,1,1,130,1,1,1,-0.42,-1.68,-1,3.18401403966075,0.142227001123664,0.348896364892035,2.76401403966075,-1.53777299887634,-0.651103635107966,1
"127",13,15,25,0,1,120,25,1,0,80,1,1,1,-1.61,-1.42,-1,0.64355022426405,-0.0100647282649638,-0.149603629634085,-0.96644977573595,-1.43006472826496,-1.14960362963409,1
"128",13,16,0,0,0,140,0,1,1,100,1,1,1,-0.7,-0.53,-1,3.54097108135544,0.255783259597425,-0.184271651256508,2.84097108135544,-0.274216740402575,-1.18427165125651,1
"129",13,17,25,1,1,140,0,0,1,100,1,1,1,-1.73,-0.51,-1,0.456471347389764,1.08561800744177,1.18947221957984,-1.27352865261024,0.575618007441771,0.18947221957984,2
"130",13,18,0,0,0,110,0,1,1,140,1,1,1,-0.55,-0.73,-1,0.402565929934513,-0.35260954490981,1.30164101371457,-0.147434070065488,-1.08260954490981,0.30164101371457,3
"131",14,1,0,0,1,120,0,1,1,80,1,2,1,-0.61,-0.43,-1,0.50026176393318,-0.318627807556679,1.48620180452691,-0.10973823606682,-0.748627807556679,0.486201804526912,3
"132",14,3,0,0,1,90,0,0,0,120,1,2,1,-0.46,-0.6,-1,1.76188559157846,0.771720288741084,-0.588403805040613,1.30188559157846,0.171720288741084,-1.58840380504061,1
"133",14,4,50,0,1,110,25,1,0,140,1,2,1,-2.56,-1.72,-1,1.25411994752913,1.68493473625378,1.5661765134058,-1.30588005247087,-0.0350652637462172,0.566176513405799,3
"134",14,6,25,0,0,90,25,1,1,130,1,2,1,-1.45,-1.68,-1,0.122921406660094,1.69750590730219,-0.789070220295986,-1.32707859333991,0.0175059073021908,-1.78907022029599,2
"135",14,7,0,0,1,150,25,1,0,130,1,2,1,-0.76,-1.67,-1,1.23082457331208,2.62694529848762,-0.617640082455287,0.470824573312078,0.956945298487623,-1.61764008245529,2
"136",14,8,0,1,0,140,75,0,1,90,1,2,1,-0.72,-3.46,-1,2.03185861521424,0.239999221434543,-1.00159188157386,1.31185861521424,-3.22000077856546,-2.00159188157386,1
"137",14,11,0,0,1,120,0,1,1,80,1,2,1,-0.61,-0.43,-1,-0.141797188876175,0.817031862125319,1.66066339778485,-0.751797188876175,0.387031862125319,0.660663397784853,3
"138",14,14,0,1,0,90,0,0,1,130,1,2,1,-0.47,-0.66,-1,0.483936193598852,-0.388697329036823,0.607284834712583,0.0139361935988521,-1.04869732903682,-0.392715165287417,1
"139",14,19,50,0,0,100,0,1,0,80,1,2,1,-2.5,-0.42,-1,-0.909491129085716,1.3325188175187,-0.0259077436756156,-3.40949112908572,0.912518817518697,-1.02590774367562,2
"140",14,20,0,0,0,110,0,1,1,140,1,2,1,-0.55,-0.73,-1,0.326976248817146,-0.61335517525799,1.0109470568291,-0.223023751182854,-1.34335517525799,0.0109470568290999,3
"141",15,2,0,0,0,100,0,1,1,120,1,1,1,-0.5,-0.63,-1,0.501513117741889,0.386521303363902,-0.93051602401809,0.00151311774188911,-0.243478696636098,-1.93051602401809,1
"142",15,5,50,1,0,120,50,0,1,80,1,1,1,-2.62,-2.41,-1,1.04659581798708,0.712501946156458,1.65823798115175,-1.57340418201292,-1.69749805384354,0.658237981151748,3
"143",15,9,0,0,1,90,0,1,0,130,1,1,1,-0.46,-0.67,-1,2.59740743291646,0.538517673973482,1.63999577701998,2.13740743291646,-0.131482326026518,0.639995777019976,1
"144",15,10,25,0,0,110,25,1,0,80,1,1,1,-1.55,-1.42,-1,-0.42726674966822,1.25513718858099,0.19642186582904,-1.97726674966822,-0.164862811419009,-0.80357813417096,2
